Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Max Kwok U Sam (郭愉琛),18.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0
2.0,Chan Sai Chong (陳世聰),26.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
3.0,Chio Wai Cheng (趙偉程),48.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,5.0
4.0,Alvarez Edel (于璐正),50.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0
5.0,Zhulu Ke (柯助錄),63.0,6.0,11.0,7.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,6.0,7.0,4.0
6.0,Vitor Jose Shen (沈偉棟),70.0,8.0,10.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,2.0,5.0,5.0
7.0,Hu Shan Jie (胡善杰),75.0,9.0,7.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
8.0,Eddie Chai (柴华),77.0,5.0,20.0,6.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,3.0,5.0
8.0,Jason Vu Ka Ieong (胡加揚),77.0,7.0,12.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,6.0,5.0
8.0,Chan Wai Nok (陳偉諾),77.0,12.0,6.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
11.0,Lio Chi Hei (廖志熙),78.0,14.0,5.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
11.0,Kwok Man Hei (郭汶羲),78.0,11.0,8.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
13.0,Meng Chon Kuok (郭明臻),79.0,13.0,9.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,3.0
14.0,Wong Hoi Kuan (黃凱君),84.0,10.0,20.0,4.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
15.0,Sio Ian Son,85.0,15.0,15.0,8.0,5.0,4.0,4.0,2.0,6.0,3.0,4.0,7.0,7.0,5.0
16.0,Brian Wong,91.0,19.0,14.0,9.0,5.0,4.0,4.0,2.0,8.0,3.0,4.0,7.0,7.0,5.0
17.0,Cheang Chi San,94.0,18.0,19.0,9.0,5.0,4.0,4.0,2.0,7.0,3.0,4.0,7.0,7.0,5.0
17.0,Wong Chon Kit (黃俊傑),94.0,17.0,18.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
19.0,Tim Choi (蔡振華),95.0,16.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
20.0,Chan Sai Long (陳世朗),97.0,21.0,17.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
21.0,Liren Sun,99.0,20.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
21.0,Ethan Hio Wai Chong,99.0,24.0,16.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
23.0,Tam Hou Meng (譚浩銘),100.0,28.0,13.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
24.0,Wong Cheng (王靖),101.0,22.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
25.0,Liang Wan Teng (梁韻婷),102.0,23.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
26.0,Peng Ieng Leong (梁冰瑩),104.0,25.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
27.0,Chiwa Wu (胡志華),105.0,26.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
28.0,Ngai Fong Wong,106.0,27.0,20.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
