Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Carlo Glod,24.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
2.0,Andrea Thull,39.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0
3.0,Philippe Schwartz,58.0,12.0,6.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,6.0,4.0,4.0,3.0,1.0,1.0,1.0
4.0,Joe Theis,71.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,1.0,9.0,3.0,6.0,2.0,2.0,3.0
5.0,Daniel Freymann,84.0,8.0,11.0,6.0,0.0,6.0,6.0,5.0,6.0,0.0,4.0,9.0,0.0,10.0,6.0,2.0,2.0,3.0
6.0,Rahul Kannan,91.0,2.0,3.0,14.0,10.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,3.0,10.0,6.0,2.0,2.0,3.0
7.0,Sebastian Ziekman,101.0,10.0,7.0,9.0,10.0,6.0,6.0,5.0,4.0,7.0,4.0,4.0,10.0,8.0,4.0,2.0,2.0,3.0
8.0,Chris Hermes,109.0,5.0,4.0,8.0,8.0,6.0,6.0,5.0,6.0,12.0,4.0,9.0,13.0,10.0,6.0,2.0,2.0,3.0
9.0,Jacob Cahoon,117.0,7.0,15.0,7.0,5.0,6.0,4.0,5.0,6.0,12.0,4.0,9.0,18.0,6.0,6.0,2.0,2.0,3.0
10.0,Jill Stoltz,120.0,11.0,14.0,14.0,10.0,6.0,6.0,5.0,6.0,12.0,4.0,9.0,5.0,5.0,6.0,2.0,2.0,3.0
11.0,Reyanksh Deb,122.0,9.0,12.0,11.0,10.0,6.0,6.0,5.0,6.0,10.0,4.0,9.0,11.0,10.0,6.0,2.0,2.0,3.0
12.0,Steve Mendeleev,123.0,6.0,13.0,5.0,10.0,6.0,6.0,5.0,6.0,12.0,4.0,9.0,18.0,10.0,6.0,2.0,2.0,3.0
